vertex_index,distance,angle,elev,x,y,Velocity,relief
297,992.72818665597185,5.09765600076063,4607.315,-1484275.524,785382.829,186.298,30.234
298,995.27760479824531,357.13614366611927,4607.315,-1484275.298,785385.368,186.298,30.234
299,998.67099828785467,341.40853898341459,4607.008,-1484275.935,785388.701,186.298,30.234
300,1001.76542946115535,328.92114812309785,4607.008,-1484277.309,785391.474,186.298,30.234
301,1004.99686675710427,335.54584630673048,4607.008,-1484279.199,785394.095,186.298,30.234
302,1007.74980532831853,350.67577561740927,4606.651,-1484279.823,785396.776,186.298,30.227
303,1012.70494155726772,356.31299047174065,4606.651,-1484280.302,785401.708,186.298,30.227
304,1015.84711914934371,358.16627270643517,4606.001,-1484280.402,785404.849,186.298,29.811
305,1018.98929674142721,345.98627193398613,4606.001,-1484280.503,785407.989,186.298,29.811
306,1021.50620137532303,327.69913387294213,4607.758,-1484281.614,785410.248,186.298,30.236
307,1024.56359372319457,321.59199658393510,4607.128,-1484283.513,785412.643,186.298,29.823
308,1027.62098607092162,318.34044783289670,4607.128,-1484285.413,785415.039,186.298,29.823
309,1030.28997436856548,315.08889908014874,4607.128,-1484287.297,785416.929,186.298,29.823
310,1032.95896266620935,314.81778947532871,4608.558,-1484289.181,785418.819,186.298,30.011
311,1035.96172857069269,314.54667987206682,4607.878,-1484291.321,785420.926,186.298,29.921
312,1038.96449447501004,318.59442500790402,4607.878,-1484293.461,785423.032,186.298,29.921
313,1041.79292261151954,323.01720677712655,4607.878,-1484295.178,785425.281,186.298,29.921
314,1046.60504356549291,324.78942369553846,4608.624,-1484298.047,785429.143,186.298,30.158
315,1049.34606576852161,326.18660397900680,4608.624,-1484299.573,785431.421,186.298,30.158
316,1052.08708797155032,327.21147092656116,4608.624,-1484301.098,785433.698,186.298,30.158
317,1054.63812728970129,328.23633787702693,4608.624,-1484302.441,785435.867,186.298,30.158
318,1057.18916660782884,336.15761061525188,4607.741,-1484303.784,785438.036,186.298,30.030
319,1059.96056037832000,344.07888335288021,4607.741,-1484304.544,785440.701,186.298,30.030
320,1062.73195414874726,342.38796839641600,4607.741,-1484305.304,785443.366,186.298,30.030
